                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.5497,                 1.5603,                 1.5736,                0.55937,                0.96846,                 0.9125,                0.65607,                 1.4759,                 1.2164,                 1.6136,                 0.0228,              0.0017996,              0.0017996
                     40,                 1.4862,                 1.6902,                 1.5585,                0.69785,                      1,                 0.9125,                0.69187,                  1.336,                 1.1142,                 1.5198,               0.020685,              0.0016848,              0.0016848
                     41,                 1.2339,                  1.243,                 1.4121,                0.83549,                0.97781,                  0.995,                0.69859,                 1.3701,                0.99156,                 1.5425,               0.018562,              0.0015621,              0.0015621
                     42,                 1.4212,                 1.5735,                 1.6239,                0.83549,                0.97781,                  0.995,                0.69859,                 1.3701,                0.99156,                 1.5425,               0.016431,              0.0014314,              0.0014314
                     43,                 1.4709,                 1.6772,                 1.6164,                0.92897,                0.83333,                0.95375,                0.69838,                 1.3918,                 1.0813,                 1.5026,               0.014293,              0.0012928,              0.0012928
                     44,                 1.5669,                 1.4354,                 1.5746,                0.92897,                0.83333,                0.95375,                0.69838,                 1.3918,                 1.0813,                 1.5026,               0.012146,              0.0011463,              0.0011463
                     45,                 1.4585,                 1.3075,                 1.5159,                0.77091,                      1,                  0.995,                0.65643,                 1.3475,                 1.1451,                 1.4639,              0.0099919,              0.0009919,              0.0009919
                     46,                  1.582,                 1.3671,                 1.7928,                0.77091,                      1,                  0.995,                0.65643,                 1.3475,                 1.1451,                 1.4639,              0.0078296,             0.00082956,             0.00082956
                     47,                 1.3216,                 1.5095,                 1.4933,                0.74746,                0.98253,                  0.995,                    0.7,                 1.3233,                 1.1575,                 1.4614,              0.0056593,              0.0006593,              0.0006593
                     48,                 1.3129,                 1.2427,                 1.5033,                0.74746,                0.98253,                  0.995,                    0.7,                 1.3233,                 1.1575,                 1.4614,              0.0034811,             0.00048112,             0.00048112
                     49,                 1.3623,                 1.1778,                 1.4384,                0.79011,                0.96859,                  0.995,                0.68704,                 1.2836,                 1.0847,                 1.4502,               0.001295,             0.00029502,             0.00029502
