                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3932,                 7.3492,                 2.3594,                0.16578,                0.25729,                0.23439,                0.07032,                 2.1631,                 5.8915,                 2.5689,                 0.0991,                 0.0001,                 0.0001
                      1,                 2.4645,                  6.538,                 2.4937,                0.16671,                0.25935,                0.23435,                0.07374,                 2.1411,                 5.8837,                 2.5524,               0.097294,             0.00029406,             0.00029406
                      2,                 2.6423,                 6.5312,                  2.533,                0.10455,                0.16667,                0.10373,                0.03359,                 2.0789,                 5.5322,                 2.5514,                0.09548,              0.0004802,              0.0004802
                      3,                 2.2765,                 5.4269,                 2.3684,                0.71174,                0.25681,                0.16692,                0.05028,                 2.1007,                 5.1196,                  2.497,               0.093658,             0.00065842,             0.00065842
                      4,                 2.4286,                 5.5292,                 2.3838,                0.00379,                0.33333,                0.05686,                0.01221,                 1.8455,                 5.3224,                 2.1323,               0.091829,             0.00082872,             0.00082872
                      5,                 2.0419,                 4.0928,                 2.0828,                0.60065,                0.16667,                0.07717,                 0.0295,                 2.0372,                 4.5404,                 2.0234,               0.089991,              0.0009911,              0.0009911
                      6,                 2.2796,                 4.0982,                 2.4632,                0.72851,                0.16667,                0.11884,                0.03182,                  2.063,                 4.2076,                 2.3583,               0.088146,              0.0011456,              0.0011456
                      7,                 2.1616,                 3.8486,                 2.1966,                0.65433,                0.16667,                0.16317,                0.06897,                  2.117,                 4.0087,                 2.3987,               0.086292,              0.0012921,              0.0012921
                      8,                 1.9922,                 3.3096,                 2.1035,                0.68297,                0.16667,                 0.2192,                0.10207,                 2.1455,                 3.9895,                 2.3638,               0.084431,              0.0014307,              0.0014307
                      9,                 1.9208,                  3.368,                  2.004,                 0.9298,                0.16667,                0.25313,                0.10228,                 2.0936,                 3.7767,                 2.3063,               0.082561,              0.0015614,              0.0015614
                     10,                  1.726,                 3.3889,                  2.005,                0.92651,                0.33333,                0.40475,                0.14565,                 2.3193,                 3.5969,                 2.4653,               0.080684,              0.0016842,              0.0016842
                     11,                  1.732,                  2.997,                 1.7557,                  0.959,                0.33333,                0.83043,                0.39896,                 2.4668,                 3.1041,                 2.7083,               0.078799,              0.0017991,              0.0017991
                     12,                 1.7893,                 3.2242,                  1.915,                0.37407,                0.83333,                 0.8345,                0.43391,                 2.4647,                 3.2013,                 2.7252,               0.076906,               0.001906,               0.001906
                     13,                 2.1317,                 2.9821,                  2.242,                0.46678,                0.74909,                0.60375,                0.27754,                 2.4396,                 3.0808,                 2.5972,               0.075005,               0.002005,               0.002005
                     14,                 2.0227,                 2.8735,                 2.0016,                0.98292,                0.33333,                0.51875,                0.20522,                 2.3199,                 3.1376,                  2.572,               0.073096,              0.0020961,              0.0020961
                     15,                 2.0323,                 2.7021,                 2.0186,                0.43574,                0.33333,                0.51442,                0.17465,                 2.1856,                 2.8002,                 2.3341,               0.071179,              0.0021793,              0.0021793
                     16,                 1.8062,                 2.7927,                 1.8281,                0.34527,                0.63049,                0.54233,                0.24813,                 2.1108,                  2.491,                 2.2721,               0.069255,              0.0022546,              0.0022546
                     17,                 1.9574,                 2.9073,                 1.8894,                0.00361,                      1,                0.45262,                0.20515,                 2.0704,                 2.8316,                 2.1742,               0.067322,              0.0023219,              0.0023219
                     18,                 1.9147,                 2.6927,                 1.9475,                 0.0477,                      1,                0.43969,                0.17621,                 2.1574,                 2.8227,                 2.2168,               0.065381,              0.0023813,              0.0023813
                     19,                  1.921,                  2.464,                  1.962,                      1,                0.29095,                 0.4654,                0.15254,                 2.0531,                 2.6299,                 2.1381,               0.063433,              0.0024328,              0.0024328
                     20,                 2.0224,                 2.4569,                 2.0016,                      1,                0.31336,                  0.531,                0.19235,                 2.2096,                 2.4574,                 2.3106,               0.061476,              0.0024764,              0.0024764
                     21,                 1.7709,                 2.1552,                 1.8093,                      1,                0.30567,                0.43969,                0.18106,                 2.0576,                 2.6033,                 2.1531,               0.059512,              0.0025121,              0.0025121
                     22,                 1.7899,                 2.0768,                  1.909,                0.86955,                0.16667,                0.28872,                0.16768,                 2.0694,                 2.6278,                 1.9926,                0.05754,              0.0025398,              0.0025398
                     23,                 1.7442,                 2.1018,                 1.8096,                0.96846,                0.16667,                0.34023,                 0.1561,                 1.9113,                  2.451,                  1.884,                0.05556,              0.0025596,              0.0025596
                     24,                 1.6366,                 2.0778,                 1.6854,                      1,                0.32599,                0.46023,                0.24456,                 1.7731,                 2.2389,                 1.8474,               0.053572,              0.0025715,              0.0025715
                     25,                 1.8113,                 2.0656,                 1.7285,                0.98017,                0.33333,                0.55575,                0.31074,                 1.8488,                 2.0091,                 1.9179,               0.051576,              0.0025755,              0.0025755
                     26,                 1.8439,                 2.1087,                  1.788,                0.48539,                    0.5,                0.58042,                0.28058,                 1.7714,                 1.8012,                 1.8236,               0.049572,              0.0025716,              0.0025716
                     27,                 1.5378,                 2.0469,                 1.6349,                0.48539,                    0.5,                0.58042,                0.28058,                 1.7714,                 1.8012,                 1.8236,                0.04756,              0.0025597,              0.0025597
                     28,                 1.6224,                 1.9434,                 1.6878,                0.41496,                    0.5,                  0.597,                0.27681,                 1.5009,                 2.0219,                 1.7026,                0.04554,              0.0025399,              0.0025399
                     29,                 1.3964,                 1.7624,                 1.5559,                0.48939,                      1,                0.66333,                0.32788,                 1.3761,                  1.547,                 1.6176,               0.043512,              0.0025122,              0.0025122
                     30,                 1.4195,                 1.9117,                 1.5192,                0.48939,                      1,                0.66333,                0.32788,                 1.3761,                  1.547,                 1.6176,               0.041477,              0.0024766,              0.0024766
                     31,                 1.4577,                 1.7474,                 1.6042,                0.50688,                0.83333,                0.62525,                0.38288,                 1.5506,                 1.6925,                 1.7138,               0.039433,              0.0024331,              0.0024331
                     32,                 1.4891,                 1.5475,                 1.5957,                0.65682,                0.79577,                  0.874,                0.56959,                 1.4902,                 1.6671,                 1.6506,               0.037382,              0.0023816,              0.0023816
                     33,                 1.5158,                 1.6347,                 1.5832,                0.65682,                0.79577,                  0.874,                0.56959,                 1.4902,                 1.6671,                 1.6506,               0.035322,              0.0023222,              0.0023222
                     34,                 1.5324,                 1.6799,                 1.5716,                0.73664,                0.66667,                 0.8025,                 0.5385,                 1.4773,                 1.5953,                 1.6256,               0.033255,              0.0022549,              0.0022549
                     35,                 1.6815,                 1.7867,                 1.6331,                0.63242,                0.83333,                0.90071,                 0.5847,                   1.48,                 1.5985,                 1.6397,                0.03118,              0.0021797,              0.0021797
                     36,                 1.6474,                 1.8174,                  1.598,                0.63242,                0.83333,                0.90071,                 0.5847,                   1.48,                 1.5985,                 1.6397,               0.029097,              0.0020966,              0.0020966
                     37,                 1.3213,                 1.4347,                 1.4348,                0.49021,                0.95939,                 0.9125,                0.62906,                 1.5773,                 1.3907,                 1.6742,               0.027006,              0.0020055,              0.0020055
                     38,                 1.4114,                 1.4411,                 1.4802,                0.55937,                0.96846,                 0.9125,                0.65607,                 1.4759,                 1.2164,                 1.6136,               0.024907,              0.0019065,              0.0019065
