                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2499,                 1.0243,                 1.4376,                0.94942,                   0.75,                0.91167,                0.56935,                  1.532,                 1.0316,                 1.6729,               0.033255,              0.0022549,              0.0022549
                     35,                 1.2695,                0.98779,                 1.5047,                0.95093,                0.98795,                  0.995,                0.60101,                 1.5427,                0.85358,                  1.694,                0.03118,              0.0021797,              0.0021797
                     36,                 1.2469,                0.92133,                 1.5022,                0.95093,                0.98795,                  0.995,                0.60101,                 1.5427,                0.85358,                  1.694,               0.029097,              0.0020966,              0.0020966
                     37,                 1.2112,                 1.0514,                 1.5309,                0.88478,                      1,                   0.97,                0.56862,                 1.4614,                 1.0482,                 1.6981,               0.027006,              0.0020055,              0.0020055
                     38,                 1.1673,                 1.0314,                  1.496,                0.88052,                      1,                  0.995,                0.59361,                  1.465,                0.98121,                 1.6807,               0.024907,              0.0019065,              0.0019065
                     39,                 1.2517,                0.89968,                 1.5526,                0.88052,                      1,                  0.995,                0.59361,                  1.465,                0.98121,                 1.6807,                 0.0228,              0.0017996,              0.0017996
                     40,                 1.1601,                0.78768,                 1.5597,                0.86143,                      1,                  0.995,                0.62921,                 1.3966,                0.92035,                 1.6451,               0.020685,              0.0016848,              0.0016848
                     41,                 1.2333,                0.78216,                 1.4368,                0.88909,                      1,                  0.995,                0.62959,                 1.2846,                0.81952,                 1.5962,               0.018562,              0.0015621,              0.0015621
                     42,                 1.0823,                0.78603,                 1.4076,                0.88909,                      1,                  0.995,                0.62959,                 1.2846,                0.81952,                 1.5962,               0.016431,              0.0014314,              0.0014314
                     43,                 1.2653,                0.86904,                 1.6465,                0.98344,                0.98945,                  0.995,                0.69122,                 1.2067,                0.71503,                 1.5866,               0.014293,              0.0012928,              0.0012928
                     44,                  1.084,                0.79332,                 1.4527,                0.98344,                0.98945,                  0.995,                0.69122,                 1.2067,                0.71503,                 1.5866,               0.012146,              0.0011463,              0.0011463
                     45,                 1.1681,                0.81489,                 1.4281,                0.97299,                  0.875,                   0.97,                0.64672,                 1.2614,                0.67807,                 1.6231,              0.0099919,              0.0009919,              0.0009919
                     46,                 1.2218,                0.83897,                 1.5984,                0.97299,                  0.875,                   0.97,                0.64672,                 1.2614,                0.67807,                 1.6231,              0.0078296,             0.00082956,             0.00082956
                     47,                 1.2301,                0.88474,                 1.5479,                0.94092,                 0.9889,                  0.995,                0.66832,                 1.2401,                0.67363,                 1.6122,              0.0056593,              0.0006593,              0.0006593
                     48,                 1.2087,                0.75651,                 1.5676,                0.94092,                 0.9889,                  0.995,                0.66832,                 1.2401,                0.67363,                 1.6122,              0.0034811,             0.00048112,             0.00048112
                     49,                 1.0534,                0.71181,                  1.326,                0.93191,                0.98928,                  0.995,                0.67861,                 1.1976,                0.64826,                 1.6183,               0.001295,             0.00029502,             0.00029502
